date,store,category,units_sold,revenue,temperature_c
2026-02-02,Downtown,Snacks,72.0,216.0,9.3
2026-01-07,Riverside,Ice Cream,4.0,18.0,3.0
2026-03-01,Uptown,Produce,46.0,92.0,19.7
2026-03-05,Suburb Mall,Bakery,78.0,273.0,17.0
2026-01-05,Uptown,Bakery,62.0,217.0,3.2
2026-01-15,Downtown,Bakery,78.0,273.0,8.4
2026-02-28,Uptown,Ice Cream,47.0,211.5,12.2
2026-03-10,Downtown,Beverages,119.0,297.5,15.7
2026-01-05,Uptown,Ice Cream,11.0,49.5,3.2
2026-01-23,Uptown,Ice Cream,26.0,117.0,6.6
2026-03-30,Downtown,Bakery,61.0,213.5,22.6
2026-03-25,Uptown,Produce,44.0,88.0,22.3
2026-01-16,Uptown,Snacks,78.0,234.0,7.6
2026-03-09,Riverside,Beverages,143.0,357.5,20.7
2026-03-31,Riverside,Bakery,67.0,234.5,18.6
2026-03-01,Suburb Mall,Beverages,110.0,275.0,19.7
2026-02-20,Suburb Mall,Produce,60.0,120.0,11.5
2026-02-16,Downtown,Ice Cream,24.0,108.0,10.6
2026-01-12,Riverside,Snacks,,297.0,7.5
2026-01-06,Riverside,Bakery,77.0,269.5,7.0
2026-02-12,Uptown,Bakery,76.0,266.0,10.5
2026-02-13,Riverside,Ice Cream,65.0,292.5,16.0
2026-01-31,Uptown,Bakery,51.0,178.5,4.9
2026-01-12,Uptown,Beverages,120.0,300.0,7.5
2026-02-21,Suburb Mall,Ice Cream,52.0,234.0,14.9
2026-01-19,Riverside,Produce,84.0,168.0,14.6
2026-01-21,Uptown,Snacks,100.0,300.0,14.5
2026-03-02,Downtown,Beverages,124.0,310.0,16.7
2026-01-07,Uptown,Snacks,92.0,276.0,3.0
2026-03-10,Riverside,Ice Cream,71.0,319.5,15.7
2026-01-07,Suburb Mall,Bakery,75.0,262.5,3.0
2026-03-26,Suburb Mall,Bakery,83.0,290.5,18.3
2026-02-12,Riverside,Ice Cream,,220.5,10.5
2026-02-04,Downtown,Produce,59.0,118.0,10.6
2026-03-11,Downtown,Ice Cream,62.0,279.0,16.6
2026-01-04,Riverside,Beverages,84.0,210.0,1.9
2026-02-23,Suburb Mall,Snacks,96.0,288.0,15.3
2026-01-14,Suburb Mall,Snacks,86.0,258.0,7.2
2026-03-05,Riverside,Ice Cream,53.0,238.5,17.0
2026-01-03,Suburb Mall,Bakery,65.0,227.5,5.0
2026-03-25,Suburb Mall,Produce,46.0,92.0,22.3
2026-03-05,Riverside,Snacks,89.0,267.0,17.0
2026-02-04,Riverside,Produce,50.0,100.0,10.6
2026-02-28,Riverside,Ice Cream,30.0,135.0,12.2
2026-01-12,Riverside,Beverages,124.0,310.0,7.5
2026-01-04,Uptown,Ice Cream,34.0,153.0,1.9
2026-03-30,Suburb Mall,Produce,53.0,106.0,22.6
2026-02-04,Suburb Mall,Snacks,78.0,234.0,10.6
2026-02-16,Riverside,Ice Cream,50.0,225.0,10.6
2026-02-17,Suburb Mall,Bakery,83.0,290.5,15.5
2026-03-19,Uptown,Bakery,67.0,234.5,15.6
2026-03-08,Uptown,Produce,48.0,96.0,19.9
2026-01-15,Suburb Mall,Beverages,116.0,290.0,8.4
2026-02-09,Uptown,Bakery,67.0,234.5,14.7
2026-03-14,Uptown,Bakery,79.0,276.5,14.8
2026-03-31,Riverside,Snacks,113.0,339.0,18.6
2026-02-14,Riverside,Bakery,75.0,262.5,15.9
2026-02-28,Downtown,Beverages,146.0,365.0,12.2
2026-02-25,Riverside,Produce,72.0,144.0,17.2
2026-02-24,Uptown,Snacks,108.0,324.0,13.3
2026-03-02,Uptown,Produce,76.0,152.0,16.7
2026-02-13,Suburb Mall,Beverages,125.0,312.5,16.0
2026-03-22,Downtown,Bakery,60.0,210.0,19.5
2026-03-05,Suburb Mall,Produce,77.0,154.0,17.0
2026-03-21,Downtown,Produce,81.0,162.0,21.6
2026-03-02,Downtown,Bakery,75.0,262.5,16.7
2026-01-02,Riverside,Snacks,74.0,222.0,4.5
2026-03-06,Riverside,Produce,66.0,132.0,18.5
2026-01-06,Downtown,Ice Cream,34.0,153.0,7.0
2026-03-26,Downtown,Beverages,114.0,285.0,18.3
2026-02-13,Downtown,Ice Cream,41.0,184.5,16.0
2026-01-03,Riverside,Bakery,57.0,199.5,5.0
2026-03-17,Riverside,Produce,50.0,100.0,17.4
2026-03-12,Riverside,Bakery,77.0,269.5,20.3
2026-02-19,Riverside,Produce,57.0,114.0,10.1
2026-01-19,Suburb Mall,Ice Cream,33.0,148.5,14.6
2026-03-09,Uptown,Beverages,151.0,377.5,20.7
2026-03-26,Downtown,Bakery,75.0,262.5,18.3
2026-01-16,Suburb Mall,Snacks,89.0,,7.6
2026-03-20,Uptown,Bakery,88.0,308.0,24.2
2026-02-03,Riverside,Beverages,102.0,255.0,12.3
2026-01-14,Uptown,Snacks,89.0,267.0,7.2
2026-03-03,Riverside,Snacks,102.0,306.0,14.7
2026-02-24,Uptown,Ice Cream,48.0,216.0,13.3
2026-01-04,Downtown,Produce,60.0,120.0,1.9
2026-02-20,Downtown,Snacks,96.0,288.0,11.5
2026-03-20,Riverside,Ice Cream,86.0,387.0,24.2
2026-02-01,Downtown,Beverages,118.0,295.0,13.5
2026-01-27,Suburb Mall,Produce,36.0,72.0,11.1
2026-03-29,Downtown,Ice Cream,89.0,400.5,23.7
2026-03-27,Suburb Mall,Ice Cream,36.0,162.0,14.8
2026-01-03,Suburb Mall,Ice Cream,19.0,85.5,5.0
2026-03-17,Suburb Mall,Bakery,45.0,157.5,17.4
2026-03-20,Downtown,Produce,72.0,144.0,24.2
2026-03-21,Riverside,Ice Cream,70.0,315.0,21.6
2026-01-04,Uptown,Snacks,90.0,270.0,1.9
2026-02-13,Downtown,Beverages,125.0,312.5,16.0
2026-01-25,Uptown,Ice Cream,28.0,126.0,7.0
2026-02-20,Suburb Mall,Snacks,104.0,312.0,11.5
2026-03-28,Uptown,Beverages,144.0,360.0,20.1
2026-03-13,Suburb Mall,Beverages,,345.0,24.5
2026-01-21,Riverside,Snacks,89.0,267.0,14.5
2026-01-04,Uptown,Bakery,65.0,227.5,1.9
2026-01-10,Uptown,Bakery,66.0,231.0,2.0
2026-03-08,Uptown,Snacks,96.0,288.0,19.9
2026-01-17,Suburb Mall,Ice Cream,25.0,112.5,5.2
2026-02-24,Uptown,Beverages,118.0,295.0,13.3
2026-02-01,Riverside,Snacks,85.0,255.0,13.5
2026-02-02,Uptown,Produce,53.0,106.0,9.3
2026-02-21,Downtown,Bakery,66.0,,14.9
2026-03-26,Riverside,Ice Cream,64.0,288.0,18.3
2026-01-21,Riverside,Produce,63.0,126.0,14.5
2026-01-08,Riverside,Bakery,75.0,262.5,2.2
2026-03-16,Uptown,Beverages,123.0,307.5,16.7
2026-03-15,Riverside,Bakery,,266.0,16.7
2026-01-24,Riverside,Bakery,67.0,234.5,9.4
2026-03-20,Downtown,Ice Cream,99.0,445.5,24.2
2026-01-08,Uptown,Ice Cream,8.0,36.0,2.2
2026-02-01,Suburb Mall,Ice Cream,63.0,283.5,13.5
2026-01-23,Uptown,Produce,40.0,80.0,6.6
2026-02-19,Uptown,Produce,72.0,144.0,10.1
2026-02-26,Riverside,Ice Cream,26.0,117.0,9.3
2026-01-09,Downtown,Produce,61.0,122.0,5.6
2026-02-28,Downtown,Ice Cream,50.0,225.0,12.2
2026-03-13,Suburb Mall,Ice Cream,101.0,454.5,24.5
2026-03-02,Downtown,Snacks,,297.0,16.7
2026-02-11,Downtown,Produce,62.0,124.0,7.3
2026-01-30,Riverside,Produce,81.0,162.0,14.3
2026-01-13,Riverside,Bakery,91.0,318.5,13.4
2026-03-17,Uptown,Beverages,137.0,342.5,17.4
2026-01-29,Uptown,Bakery,59.0,206.5,12.2
2026-03-01,Suburb Mall,Ice Cream,74.0,333.0,19.7
2026-02-20,Uptown,Beverages,120.0,300.0,11.5
2026-03-24,Suburb Mall,Ice Cream,71.0,319.5,20.9
2026-01-02,Uptown,Snacks,80.0,240.0,4.5
2026-02-08,Riverside,Beverages,109.0,272.5,11.4
2026-03-14,Uptown,Beverages,110.0,275.0,14.8
2026-01-23,Riverside,Beverages,134.0,335.0,6.6
2026-01-24,Uptown,Ice Cream,55.0,247.5,9.4
2026-03-01,Riverside,Snacks,104.0,312.0,19.7
2026-03-28,Suburb Mall,Bakery,80.0,280.0,20.1
2026-01-14,Downtown,Snacks,94.0,282.0,7.2
2026-02-04,Riverside,Bakery,63.0,220.5,10.6
2026-02-02,Suburb Mall,Snacks,94.0,282.0,9.3
2026-02-02,Suburb Mall,Produce,46.0,92.0,9.3
2026-03-12,Riverside,Produce,76.0,152.0,20.3
2026-02-13,Uptown,Snacks,89.0,267.0,16.0
2026-03-28,Riverside,Bakery,73.0,255.5,20.1
2026-03-27,Uptown,Produce,53.0,106.0,14.8
2026-03-13,Uptown,Beverages,141.0,352.5,24.5
2026-01-03,Downtown,Snacks,69.0,207.0,5.0
2026-02-12,Downtown,Beverages,132.0,330.0,10.5
2026-01-26,Riverside,Bakery,59.0,206.5,3.8
2026-02-05,Downtown,Bakery,83.0,290.5,12.3
2026-03-21,Suburb Mall,Ice Cream,93.0,418.5,21.6
2026-01-31,Suburb Mall,Beverages,85.0,212.5,4.9
2026-01-18,Suburb Mall,Bakery,78.0,273.0,7.0
2026-02-26,Riverside,Bakery,70.0,245.0,9.3
2026-03-17,Downtown,Beverages,104.0,260.0,17.4
2026-01-02,Riverside,Produce,59.0,118.0,4.5
2026-01-20,Riverside,Beverages,129.0,322.5,11.9
2026-03-22,Uptown,Snacks,97.0,291.0,19.5
2026-01-19,Suburb Mall,Beverages,136.0,340.0,14.6
2026-01-12,Riverside,Bakery,64.0,224.0,7.5
2026-03-22,Suburb Mall,Produce,68.0,136.0,19.5
2026-03-15,Riverside,Snacks,98.0,294.0,16.7
2026-01-30,Uptown,Bakery,77.0,269.5,14.3
2026-02-27,Suburb Mall,Ice Cream,73.0,328.5,16.2
2026-03-01,Downtown,Snacks,92.0,276.0,19.7
2026-03-20,Suburb Mall,Snacks,93.0,279.0,24.2
2026-01-08,Uptown,Snacks,89.0,267.0,2.2
2026-03-12,Uptown,Produce,73.0,146.0,20.3
2026-02-19,Downtown,Beverages,116.0,290.0,10.1
2026-01-16,Suburb Mall,Beverages,108.0,270.0,7.6
2026-01-17,Suburb Mall,Snacks,85.0,255.0,5.2
2026-01-25,Suburb Mall,Beverages,98.0,245.0,7.0
2026-03-13,Downtown,Bakery,101.0,353.5,24.5
2026-03-09,Downtown,Bakery,82.0,287.0,20.7
2026-01-27,Downtown,Bakery,71.0,248.5,11.1
2026-02-01,Riverside,Produce,58.0,116.0,13.5
2026-01-09,Downtown,Ice Cream,17.0,76.5,5.6
2026-03-01,Uptown,Ice Cream,59.0,265.5,19.7
2026-02-08,Riverside,Ice Cream,,171.0,11.4
2026-03-30,Uptown,Ice Cream,94.0,423.0,22.6
2026-02-04,Downtown,Bakery,65.0,227.5,10.6
2026-02-07,Riverside,Bakery,72.0,252.0,10.4
2026-01-24,Downtown,Bakery,56.0,196.0,9.4
2026-03-30,Suburb Mall,Snacks,76.0,228.0,22.6
2026-01-07,Suburb Mall,Snacks,88.0,264.0,3.0
2026-01-05,Riverside,Beverages,99.0,247.5,3.2
2026-01-11,Uptown,Produce,86.0,172.0,8.4
2026-01-07,Suburb Mall,Produce,41.0,82.0,3.0
2026-03-22,Suburb Mall,Beverages,112.0,280.0,19.5
2026-02-27,Downtown,Produce,64.0,128.0,16.2
2026-02-22,Suburb Mall,Beverages,115.0,287.5,15.8
2026-01-09,Suburb Mall,Beverages,115.0,287.5,5.6
2026-01-27,Riverside,Produce,85.0,170.0,11.1
2026-03-12,Uptown,Bakery,69.0,241.5,20.3
2026-03-06,Riverside,Ice Cream,70.0,315.0,18.5
2026-01-13,Suburb Mall,Snacks,93.0,279.0,13.4
2026-02-03,Suburb Mall,Bakery,64.0,224.0,12.3
2026-03-15,Uptown,Bakery,93.0,325.5,16.7
2026-02-02,Suburb Mall,Bakery,83.0,,9.3
2026-01-09,Downtown,Bakery,66.0,231.0,5.6
2026-02-25,Riverside,Ice Cream,68.0,306.0,17.2
2026-02-17,Uptown,Beverages,114.0,,15.5
2026-02-05,Suburb Mall,Produce,92.0,184.0,12.3
2026-01-12,Downtown,Bakery,76.0,266.0,7.5
2026-02-27,Uptown,Bakery,64.0,224.0,16.2
2026-01-28,Suburb Mall,Produce,48.0,96.0,6.5
2026-03-10,Downtown,Bakery,83.0,290.5,15.7
2026-02-06,Riverside,Produce,54.0,108.0,12.5
2026-01-22,Uptown,Beverages,107.0,267.5,8.4
2026-02-10,Suburb Mall,Produce,63.0,126.0,11.5
2026-02-03,Uptown,Ice Cream,59.0,265.5,12.3
2026-01-22,Uptown,Ice Cream,22.0,99.0,8.4
2026-02-05,Suburb Mall,Ice Cream,59.0,265.5,12.3
2026-02-06,Riverside,Beverages,142.0,355.0,12.5
2026-03-20,Suburb Mall,Ice Cream,84.0,378.0,24.2
2026-03-09,Uptown,Bakery,76.0,266.0,20.7
2026-03-16,Riverside,Snacks,94.0,,16.7
2026-03-09,Downtown,Beverages,121.0,302.5,20.7
2026-03-29,Downtown,Beverages,125.0,312.5,23.7
2026-03-08,Downtown,Produce,56.0,112.0,19.9
2026-02-19,Downtown,Produce,54.0,108.0,10.1
2026-03-24,Downtown,Snacks,84.0,252.0,20.9
2026-03-06,Suburb Mall,Produce,78.0,156.0,18.5
2026-03-28,Uptown,Ice Cream,67.0,301.5,20.1
2026-02-11,Riverside,Ice Cream,31.0,139.5,7.3
2026-01-12,Downtown,Ice Cream,58.0,261.0,7.5
2026-01-05,Uptown,Produce,51.0,102.0,3.2
2026-01-12,Downtown,Snacks,80.0,240.0,7.5
2026-03-03,Downtown,Produce,40.0,80.0,14.7
2026-01-10,Uptown,Snacks,75.0,225.0,2.0
2026-02-03,Uptown,Ice Cream,59.0,265.5,12.3
2026-02-03,Suburb Mall,Beverages,141.0,352.5,12.3
2026-02-05,Uptown,Bakery,77.0,269.5,12.3
2026-02-18,Downtown,Beverages,116.0,290.0,16.1
2026-03-16,Downtown,Beverages,127.0,317.5,16.7
2026-01-08,Suburb Mall,Ice Cream,21.0,94.5,2.2
2026-01-17,Uptown,Beverages,120.0,300.0,5.2
2026-03-01,Uptown,Snacks,95.0,285.0,19.7
2026-03-11,Uptown,Snacks,102.0,306.0,16.6
2026-03-03,Riverside,Bakery,71.0,248.5,14.7
2026-01-22,Suburb Mall,Bakery,92.0,322.0,8.4
2026-03-24,Suburb Mall,Beverages,136.0,340.0,20.9
2026-02-28,Suburb Mall,Snacks,110.0,330.0,12.2
2026-03-20,Suburb Mall,Beverages,,327.5,24.2
2026-01-12,Uptown,Produce,57.0,114.0,7.5
2026-02-11,Uptown,Bakery,66.0,231.0,7.3
2026-01-17,Riverside,Bakery,71.0,248.5,5.2
2026-02-11,Riverside,Snacks,79.0,237.0,7.3
2026-02-20,Uptown,Snacks,104.0,312.0,11.5
2026-03-22,Riverside,Snacks,105.0,315.0,19.5
2026-01-04,Riverside,Ice Cream,16.0,72.0,1.9
2026-03-06,Uptown,Beverages,110.0,275.0,18.5
2026-02-26,Suburb Mall,Ice Cream,18.0,81.0,9.3
2026-03-01,Downtown,Beverages,120.0,300.0,19.7
2026-01-19,Suburb Mall,Snacks,86.0,258.0,14.6
2026-03-06,Riverside,Bakery,56.0,196.0,18.5
2026-02-17,Downtown,Bakery,48.0,168.0,15.5
2026-03-04,Downtown,Ice Cream,43.0,193.5,14.8
2026-01-07,Riverside,Bakery,69.0,241.5,3.0
2026-03-22,Riverside,Bakery,76.0,266.0,19.5
2026-01-19,Downtown,Ice Cream,46.0,207.0,14.6
2026-03-22,Riverside,Beverages,119.0,297.5,19.5
2026-03-08,Riverside,Ice Cream,61.0,,19.9
2026-01-19,Riverside,Ice Cream,59.0,265.5,14.6
2026-02-22,Suburb Mall,Bakery,75.0,262.5,15.8
2026-02-15,Uptown,Produce,73.0,146.0,9.3
2026-02-22,Downtown,Beverages,123.0,307.5,15.8
2026-01-29,Suburb Mall,Snacks,113.0,339.0,12.2
2026-01-28,Downtown,Produce,62.0,124.0,6.5
2026-01-09,Suburb Mall,Bakery,66.0,231.0,5.6
2026-03-31,Suburb Mall,Beverages,127.0,317.5,18.6
2026-02-15,Suburb Mall,Snacks,92.0,276.0,9.3
2026-03-31,Suburb Mall,Snacks,84.0,252.0,18.6
2026-02-07,Suburb Mall,Bakery,69.0,241.5,10.4
2026-03-21,Riverside,Snacks,91.0,273.0,21.6
2026-01-25,Riverside,Bakery,69.0,241.5,7.0
2026-03-08,Riverside,Snacks,109.0,327.0,19.9
2026-02-22,Suburb Mall,Ice Cream,55.0,247.5,15.8
2026-01-21,Uptown,Beverages,110.0,275.0,14.5
2026-01-15,Downtown,Beverages,110.0,275.0,8.4
2026-03-05,Uptown,Snacks,111.0,333.0,17.0
2026-02-12,Suburb Mall,Bakery,65.0,227.5,10.5
2026-01-31,Downtown,Produce,37.0,74.0,4.9
2026-01-26,Suburb Mall,Ice Cream,38.0,171.0,3.8
2026-02-20,Suburb Mall,Bakery,74.0,259.0,11.5
2026-01-08,Suburb Mall,Bakery,,262.5,2.2
2026-03-28,Downtown,Snacks,76.0,228.0,20.1
2026-01-04,Uptown,Beverages,108.0,270.0,1.9
2026-01-02,Uptown,Produce,79.0,158.0,4.5
2026-02-10,Suburb Mall,Beverages,110.0,275.0,11.5
2026-02-26,Downtown,Produce,76.0,152.0,9.3
2026-03-20,Uptown,Snacks,102.0,306.0,24.2
2026-03-03,Suburb Mall,Ice Cream,57.0,256.5,14.7
2026-01-09,Uptown,Produce,54.0,108.0,5.6
2026-02-06,Uptown,Bakery,62.0,217.0,12.5
2026-02-10,Downtown,Produce,,132.0,11.5
2026-01-22,Riverside,Bakery,59.0,206.5,8.4
2026-01-16,Suburb Mall,Ice Cream,24.0,108.0,7.6
2026-03-21,Downtown,Ice Cream,49.0,220.5,21.6
2026-02-09,Downtown,Ice Cream,81.0,364.5,14.7
2026-01-01,Riverside,Bakery,47.0,164.5,6.5
2026-02-15,Suburb Mall,Ice Cream,46.0,207.0,9.3
2026-03-06,Suburb Mall,Bakery,62.0,217.0,18.5
2026-03-20,Suburb Mall,Produce,55.0,110.0,24.2
2026-01-26,Downtown,Ice Cream,24.0,108.0,3.8
2026-02-09,Riverside,Bakery,63.0,220.5,14.7
2026-02-03,Suburb Mall,Ice Cream,45.0,202.5,12.3
2026-03-16,Riverside,Beverages,119.0,297.5,16.7
2026-01-11,Downtown,Produce,68.0,136.0,8.4
2026-03-18,Downtown,Produce,81.0,162.0,19.5
2026-01-25,Uptown,Snacks,87.0,261.0,7.0
2026-01-29,Riverside,Produce,77.0,154.0,12.2
2026-03-31,Uptown,Snacks,87.0,261.0,18.6
2026-01-28,Downtown,Ice Cream,29.0,130.5,6.5
2026-03-30,Riverside,Ice Cream,87.0,391.5,22.6
2026-02-06,Suburb Mall,Ice Cream,54.0,243.0,12.5
2026-01-25,Suburb Mall,Ice Cream,23.0,103.5,7.0
2026-03-01,Suburb Mall,Produce,64.0,128.0,19.7
2026-03-23,Riverside,Snacks,105.0,315.0,20.0
2026-03-13,Riverside,Produce,75.0,150.0,24.5
2026-01-01,Riverside,Beverages,112.0,280.0,6.5
2026-02-13,Riverside,Snacks,96.0,288.0,16.0
2026-03-09,Downtown,Produce,70.0,140.0,20.7
2026-01-25,Riverside,Ice Cream,19.0,85.5,7.0
2026-03-18,Uptown,Bakery,63.0,,19.5
2026-03-09,Suburb Mall,Bakery,100.0,350.0,20.7
2026-02-14,Riverside,Beverages,116.0,290.0,15.9
2026-03-22,Downtown,Snacks,83.0,249.0,19.5
2026-01-26,Uptown,Bakery,59.0,206.5,3.8
2026-02-04,Uptown,Beverages,123.0,307.5,10.6
2026-01-26,Suburb Mall,Bakery,37.0,129.5,3.8
2026-03-05,Uptown,Beverages,130.0,325.0,17.0
2026-01-20,Downtown,Snacks,83.0,249.0,11.9
2026-02-18,Riverside,Bakery,72.0,252.0,16.1
2026-03-29,Suburb Mall,Produce,56.0,112.0,23.7
2026-02-07,Riverside,Beverages,119.0,297.5,10.4
2026-01-01,Uptown,Beverages,137.0,342.5,6.5
2026-03-22,Downtown,Beverages,124.0,310.0,19.5
2026-01-03,Uptown,Ice Cream,,126.0,5.0
2026-03-29,Riverside,Ice Cream,79.0,355.5,23.7
2026-01-14,Uptown,Beverages,113.0,282.5,7.2
2026-02-18,Downtown,Snacks,108.0,,16.1
2026-01-07,Downtown,Produce,57.0,114.0,3.0
2026-01-31,Uptown,Produce,53.0,106.0,4.9
2026-01-31,Downtown,Beverages,135.0,337.5,4.9
2026-03-06,Uptown,Ice Cream,71.0,319.5,18.5
2026-03-20,Suburb Mall,Bakery,92.0,322.0,24.2
2026-03-22,Uptown,Bakery,71.0,248.5,19.5
2026-01-05,Downtown,Bakery,60.0,210.0,3.2
2026-03-15,Suburb Mall,Beverages,138.0,345.0,16.7
2026-01-15,Uptown,Produce,58.0,116.0,8.4
2026-03-11,Uptown,Bakery,88.0,,16.6
2026-01-21,Suburb Mall,Snacks,75.0,225.0,14.5
2026-01-21,Uptown,Bakery,51.0,178.5,14.5
2026-01-03,Suburb Mall,Beverages,121.0,302.5,5.0
2026-02-07,Downtown,Bakery,54.0,189.0,10.4
2026-01-21,Downtown,Snacks,89.0,267.0,14.5
2026-03-25,Downtown,Beverages,115.0,287.5,22.3
2026-01-06,Riverside,Beverages,118.0,295.0,7.0
2026-02-03,Downtown,Ice Cream,50.0,225.0,12.3
2026-02-25,Downtown,Snacks,120.0,360.0,17.2
2026-03-17,Riverside,Bakery,74.0,259.0,17.4
2026-03-13,Downtown,Beverages,120.0,300.0,24.5
2026-03-07,Suburb Mall,Produce,66.0,132.0,15.4
2026-03-13,Suburb Mall,Snacks,98.0,294.0,24.5
2026-02-21,Riverside,Ice Cream,59.0,265.5,14.9
2026-02-10,Uptown,Produce,53.0,106.0,11.5
2026-01-29,Riverside,Beverages,125.0,312.5,12.2
2026-02-03,Suburb Mall,Beverages,141.0,352.5,12.3
2026-03-23,Uptown,Beverages,147.0,367.5,20.0
2026-01-05,Suburb Mall,Bakery,56.0,196.0,3.2
2026-03-24,Riverside,Beverages,121.0,302.5,20.9
2026-01-26,Suburb Mall,Snacks,93.0,279.0,3.8
2026-03-22,Uptown,Beverages,119.0,297.5,19.5
2026-01-16,Downtown,Bakery,67.0,234.5,7.6
2026-03-03,Uptown,Ice Cream,28.0,126.0,14.7
2026-01-31,Downtown,Ice Cream,19.0,85.5,4.9
2026-02-25,Riverside,Bakery,83.0,290.5,17.2
2026-01-17,Uptown,Snacks,81.0,243.0,5.2
2026-03-17,Downtown,Produce,66.0,132.0,17.4
2026-01-15,Uptown,Bakery,76.0,266.0,8.4
2026-02-13,Uptown,Produce,81.0,162.0,16.0
2026-01-13,Riverside,Produce,44.0,88.0,13.4
2026-01-20,Riverside,Produce,64.0,128.0,11.9
2026-02-11,Riverside,Produce,52.0,104.0,7.3
2026-01-12,Uptown,Snacks,80.0,240.0,7.5
2026-01-31,Riverside,Snacks,84.0,252.0,4.9
2026-02-06,Uptown,Snacks,90.0,270.0,12.5
2026-01-04,Suburb Mall,Beverages,92.0,230.0,1.9
2026-02-10,Riverside,Produce,53.0,106.0,11.5
